Founder,Company,Status,Skills,Experiences,Values,Motivation
Allan Grant,Curebit,Operating,Web development,22 years in web development,Empathy Excellence Innovation,Helping Others Personal Growth Making a Difference
Dominic Coryell,Curebit,Operating,Product management Growth,16 years in product development,Dedication to his craft and work Strong work ethic Commitment to quality and excellence,Passion for his work and the industry Desire to make a positive impact Personal growth and development
Jeff Yee,Curebit,Operating,NA
Nori Yoshida,Curebit,Operating,Product management,20 years in product development,Excellence in product management Creativity Making right trade-offs,Getting things done Collaborating Building relationships
Joe Ariel,Goldbely,Operating,NA
Joel Gillman,Goldbely,Operating,Front end development project management,16 years in front end development,Positive attitude teamplayer,Working for the best solution Advocate for standards Detail orientation
Trevor Stow,Goldbely,Operating,NA
Vanessa Torrivilla,Goldbely,Operating,Product management project management design,19 years in product management,Personable Respect Collaboration,Making a brand feel more exclusive Delivering high quality design
Alex Cavoulacos,theDailyMuse,Operating,Product management engineering and data,5 years in management consultancy 12 years in product development,Getting shit done Turning chaos into order Bringing great people together,Spending time with users team and clients Forming genuine connections
Kathryn Minshew,theDailyMuse,Operating,Product development and management Company culture building Writing and authorship Consulting,2 years in management consultancy 12 years in product development,Creating products that help individuals navigate their careers Building a warm and inclusive working environment Investing deeply in company culture,Helping create the future of work Building loved and trusted products Redefining what a fast growth startup looks like
Melissa McCreery,theDailyMuse,Operating,NA
Brandon Arbini,Zencoder,Exited,Web design Software engineering, 21 years in web development,Persistence and determination to deliver,Looking to bigger picture and creating whole solutions
Jon Dahl,Zencoder,Exited,NA
Steve Heffernan,Zencoder,Exited,Web development Product designa and development, 20 years in web application development,Standards and open source for web development,Creating high quality products
Ray Grieselhuber,GinzaMetrics,Operating,NA
Chad Powell,Bloomthat,Operating,NA
David Bladow,Bloomthat,Operating,NA
Matthew Schwab,Bloomthat,Operating,NA
Kevin Lindsey,PIxate,Operating,Software architecture development,23 years in software architecture development,Creating robust solutions,Using productivity to conquer problems
Paul Colton,PIxate,Operating,Application server development desktop app development,19 years in software development,Rapid building and prototyping,Being part of robust small teams Being disruptive
Eric Wu,Movity,Exited,Lead generation Real estate tech,18 years in real estate solutions, Results driven mindset Leadership,Creating opportunities
Sha Hwang,Movity,Exited,Design technologist,17 years in design technology,Improving vulnerable populations government services,Improving for public benefit
Vaughn Koch,Movity,Exited,Machine learning product management software development,13 years in software development,Being a key player and taking part of a business as whole,Using technology to create better future
Evan Beard,Etacts,Exited,Web development Robotics,8 years in web development,Inspiring and motivating people,Making future accessible
Howie Liu,Etacts,Exited,NA
Anton Brevde,Asseta,Operating,Finance Sales,18 years in business development,Helping breakthrough with scientific startups,Transform billions of lives
Danial Afzal,Asseta,Operating,NA
Garrett Beck,Asseta,Operating,Sales and Business Development,15 years in business development,
Jonathan Pease,Asseta,Operating,Marketing,16 years in performance marketing,Creative effectiveness Iterative testing,Improving customers lifes
Bob Aspell,SimplyInsured,Operating,Product management,12 years in product management,Executing the right thing,Making excellent problem solver products
Vivek Shah,SimplyInsured,Operating,NA
Daishin Sugano,Superb (was GrubWithUs),Operating,NA
Eddy Lu,Superb (was GrubWithUs),Operating,NA
Brendan Lim,Kicksend,Operating,Product management mobile software development,10 years in mobile development and project management,Understanding customer and developers needs,Dedication to work
Pradeep Elankumaran,Kicksend,Operating,Product management software development,7 years in product management,Getting things done Creating meaningful contacts with people,Learning and applying new ideas
Harry Zhang,Lob,Operating,Software development,11 years in software development,Innovating for increasing connectivity,Creating next generation innovation
Leore Avidar,Lob,Operating,Finance,6 years in trading and finance,Making people's live easier,Making world more transparent
Jason Kim,Foodoro,Operating,NA
JP Ren,Snapjoy,Exited,NA
Michael Dwan,Snapjoy,Exited,NA
Savraj Singh,Wattvision,Operating,Product management web applications development,16 years in product development,Executing on opportunities,Building and serving to large markets
Alek Strygin,GetGoing,Operating,NA
Alek Vernitsky,GetGoing,Operating,NA
Eli Rosenberg,GetGoing,Operating,NA
Ilya Gluhovsky,GetGoing,Operating,NA
Julien Lemoine,Algolia,Operating
Alex Solomon,PagerDuty,Operating
 Andrew Miklas,PagerDuty,Operating
 Baskar Puvanathasan,PagerDuty,Operating
Brian Groudan,PayTango,Operating
 Christian Reyes,PayTango,Operating
 Kelly Lau-Kee,PayTango,Operating
 Umang Patel,PayTango,Operating
Jared Heyman,CrowdMed,Operating
 Jessica Greenwalt,CrowdMed,Operating
 Leonardo Setyanto,CrowdMed,Operating
Brian Chesky,AirBnb,Operating
 Joe Gebbia,AirBnb,Operating
 Nathan Blecharczyk,AirBnb,Operating
Marie Brattberg,Heysan,Exited
 Michael Ossareh,Heysan,Exited
 PÃ¤r Lindhe,Heysan,Exited
Christopher Steiner,Aisle50,Operating
 Riley Scott,Aisle50,Operating
Adam Kocoloski,Cloudant,Exited
 Alan Hoffman,Cloudant,Exited
 Michael Miller,Cloudant,Exited
Hiroki Takeuchi,GoCardless,Operating
 Matt Robinson,GoCardless,Operating
Gaurav Sharma,chute,Operating
 Gregarious Narain,chute,Operating
 Ranvir Gujral,chute,Operating
Keven Lin,SocialPicks,Exited
 Weiting Liu,SocialPicks,Exited
Severin Smith,Minuum,Operating
 Will Walmsley,Minuum,Operating
 Xavier Snelgrove,Minuum,Operating
Solomon Hykes,Dotcloud,Exited
Justin Kan,Justin.tv,Dead
 Kyle Vogt,Justin.tv,Dead
Art Gibson,Embedly,Operating
 Sean Creeley,Embedly,Operating
Ilan Zechory,RapGenius,Operating
 Mahbod Moghadam,RapGenius,Operating
 Tom Lehman,RapGenius,Operating
Abigail Kirigin,Tipjoy,Dead
 Ivan Kirigin,Tipjoy,Dead
Gagan Palrecha,Chirply,Operating
 Neel Palrecha,Chirply,Operating
Jakub Krzych,Estimote,Operating
 Lukasz Kostka,Estimote,Operating
 Nicholas Chirls,Estimote,Operating
Mehul Shah,Mertado,Exited
 Rajiv Bhat,Mertado,Exited
 Vijay Chittoor,Mertado,Exited
Andy Huibers,Bump,Exited
 David Lieb,Bump,Exited
 Jake Mintz,Bump,Exited
Charles Forman,OMGPOP,Exited
Jared Friedman,Scribd,Operating
 Tikhon Bernstam,Scribd,Operating
 Trip Adler,Scribd,Operating
Alex Mittal,FundersClub,Operating
 Boris Silver,FundersClub,Operating
Antonio Garcia-Martinez,AdGrok,Exited
 Argyris Zymnis,AdGrok,Exited
 Matthew McEachen,AdGrok,Exited
Julian Frumar,Omnisio,Exited
 Ryan Junee,Omnisio,Exited
 Simon Ratner,Omnisio,Exited
Harjeet Taggar,Auctomatic,Exited
 Kulveer Taggar,Auctomatic,Exited
 Patrick Collison,Auctomatic,Exited
Robby Walker,Greplin,Exited
Kulveer Taggar,Tagstand,Operating
 Omar Seyal,Tagstand,Operating
 Srini Panguluri,Tagstand,Operating
Michael Young,CarWoo,Dead
 Tommy McClung,CarWoo,Dead
Esther Park,Tastemaker,Operating
 Joe Fraiman,Tastemaker,Operating
 Juan Vasquez,Tastemaker,Operating
 Kyle Larson,Tastemaker,Operating
Adam Prout,MemSQL,Operating
 Eric Frenkiel,MemSQL,Operating
 Nikita Shamgunov,MemSQL,Operating
Aaron O'Connell,42floors,Operating
 Alison Di Spaltro,42floors,Operating
 Ben Ehmke,42floors,Operating
 Darren Nix,42floors,Operating
 James Bracy,42floors,Operating
 Jason Freedman,42floors,Operating
 Jon Bracy,42floors,Operating
 Justin Bedecarre,42floors,Operating
Laks Srini,Zenefits,Operating
 Parker Conrad,Zenefits,Operating
Martin Kleppmann,Rapportive,Exited
 Sam Stokes,Rapportive,Exited
Arun Gupta,Wakemate,Dead
 Craig Lewiston,Wakemate,Dead
 Greg Nemeth,Wakemate,Dead
 Tom Davis,Wakemate,Dead
Greg Laughlin,Statwing,Operating
 John Le,Statwing,Operating
Llyod Jacob,Install Monetizer,Operating
 Vince Mundy,Install Monetizer,Operating
Ilya Sukhar,Parse,Exited
 James Yu,Parse,Exited
 Kevin Lacker,Parse,Exited
 Tikhon Bernstam,Parse,Exited
David Petersen,BuildZoom,Operating
 Jiyan Wei,BuildZoom,Operating
James Richards,Teleborder,Operating
 Michael Smith,Teleborder,Operating
Ashwin Bharambe,Buxfer,Operating
 Shashank Pandit,Buxfer,Operating
Chris Fanini,Weebly,Operating
 Dan Veltri,Weebly,Operating
 David Rusenko,Weebly,Operating
Andres Morey,Octopart,Operating
 Harish Agarwal,Octopart,Operating
 Sam Wurzel,Octopart,Operating
Daniel Ha,Disqus,Operating
 Jason Yan,Disqus,Operating
Nikki Durkin,99dresses,Operating
Jon Li,Butter Systems,Operating
 Sam Brin,Butter Systems,Operating
Adam Smith,Xobni,Exited
 Matt Brezina,Xobni,Exited
Brett Huneycutt,1000Memories,Exited
 Jonathan Good,1000Memories,Exited
 Rudy Adler,1000Memories,Exited
Andrew Lee,Firebase (prev. Envolve),Operating
 James Tamplin,Firebase (prev. Envolve),Operating
Jeff Reynolds,Wevorce,Operating
 Michelle Crosby,Wevorce,Operating
Gee Chuang,Listia,Operating
 James Fong,Listia,Operating
Ooshma Garg,Gobble,Operating
D. Scott Phoenix,Frogmetrics,Dead
 Jeremy Mims,Frogmetrics,Dead
Humberto Evans,CircuitLab,Operating
 Mike Robbins,CircuitLab,Operating
Daniel Kivatinos,Dr Chrono,Operating
 Michael Nusimow,Dr Chrono,Operating
Apoorva Mehta,Instacart,Operating
 Brandon Leonardo,Instacart,Operating
 Max Mullen,Instacart,Operating
Anson Tsui,SpoonRocket,Operating
 Steven Hsiao,SpoonRocket,Operating
Brian Armstrong,Coinbase,Operating
 Fred Ehrsam,Coinbase,Operating
João de Paula,Glio,Operating
 Roberto Riccio,Glio,Operating
Daniel Sperling-Horowitz,HD Trade Services,Operating
 Daniel Sugarman,HD Trade Services,Operating
Chuong Nguyen,DataRank,Operating
 Kenneth Cason,DataRank,Operating
 Ryan Frazier,DataRank,Operating
Chad Etzel,Notifo,Dead
 Paul Stamatiou,Notifo,Dead
Jud Gardner,Comprehend Systems,Operating
 Rick Morrison,Comprehend Systems,Operating
